State,Latitude,Longitude,Abbreviation
Alabama,32.806671,-86.79113,AL
Alaska,61.370716,-152.404419,AK
Arizona,33.729759,-111.431221,AZ
Arkansas,34.969704,-92.373123,AR
California,36.116203,-119.681564,CA
Colorado,39.059811,-105.311104,CO
Connecticut,41.597782,-72.755371,CT
Delaware,39.318523,-75.507141,DE
District of Columbia,38.897438,-77.026817,DC
Florida,27.766279,-81.686783,FL
Georgia,33.040619,-83.643074,GA
Hawaii,21.094318,-157.498337,HI
Idaho,44.240459,-114.478828,ID
Illinois,40.349457,-88.986137,IL
Indiana,39.849426,-86.258278,IN
Iowa,42.011539,-93.210526,IA
Kansas,38.5266,-96.726486,KS
Kentucky,37.66814,-84.670067,KY
Louisiana,31.169546,-91.867805,LA
Maine,44.693947,-69.381927,ME
Maryland,39.063946,-76.802101,MD
Massachusetts,42.230171,-71.530106,MA
Michigan,43.326618,-84.536095,MI
Minnesota,45.694454,-93.900192,MN
Mississippi,32.741646,-89.678696,MS
Missouri,38.456085,-92.288368,MO
Montana,46.921925,-110.454353,MT
Nebraska,41.12537,-98.268082,NE
Nevada,38.313515,-117.055374,NV
New Hampshire,43.452492,-71.563896,NH
New Jersey,40.298904,-74.521011,NJ
New Mexico,34.840515,-106.248482,NM
New York,42.165726,-74.948051,NY
North Carolina,35.630066,-79.806419,NC
North Dakota,47.528912,-99.784012,ND
Ohio,40.388783,-82.764915,OH
Oklahoma,35.565342,-96.928917,OK
Oregon,44.572021,-122.070938,OR
Pennsylvania,40.590752,-77.209755,PA
Rhode Island,41.680893,-71.51178,RI
South Carolina,33.856892,-80.945007,SC
South Dakota,44.299782,-99.438828,SD
Tennessee,35.747845,-86.692345,TN
Texas,31.054487,-97.563461,TX
Utah,40.150032,-111.862434,UT
Vermont,44.045876,-72.710686,VT
Virginia,37.769337,-78.169968,VA
Washington,47.400902,-121.490494,WA
West Virginia,38.491226,-80.954453,WV
Wisconsin,44.268543,-89.616508,WI
Wyoming,42.755966,-107.30249,WY